Contabilización;Comprobante;;;;Cliente;;;Gravados;;;
Asiento;Fecha;Tipo;Nº;CAE;CUIT;Nombre o Razón Social;IVA;ING;IVA;Total;Observaciones
745) - 30545;05/05/2026;F B;00003-00001072;Sí;30-69087329-6;O.S. DEL PER. DEL JOCKEY CLUB DE ROSARIO;E;2.213.141,23;464.759,66;2.677.900,89;Período Abril 2026
746) - 30546;05/05/2026;F B;00003-00001073;Sí;30-69087329-6;O.S. DEL PER. DEL JOCKEY CLUB DE ROSARIO;E;778.072,47;163.395,22;941.467,69;Período Abril 2026
747) - 30547;05/05/2026;F B;00003-00001074;Sí;30-59965970-2;OSPERYH;E;2.284.458,12;479.736,21;2.764.194,33;Período Abril 2026 
748) - 30548;05/05/2026;F B;00003-00001075;Sí;30-59545956-3;OSPERYHRA;E;480.938,55;100.997,10;581.935,65;Período Abril 2026
749) - 30549;05/05/2026;F B;00003-00001076;Sí;30-53331924-2;FATERYH;E;9.137.832,48;1.918.944,82;11.056.777,30;Período Abril 2026 
750) - 30550;05/05/2026;F B;00003-00001077;Sí;30-52954331-6;SUTERH;E;1.923.754,21;403.988,38;2.327.742,59;Período Abril 2026
751) - 30551;05/05/2026;F B;00003-00001078;Sí;30-68373359-4;OBRA SOCIAL DEL PERSONAL MUNICIPAL DE AVELLANEDA;E;385.000,00;80.850,00;465.850,00;Período Abril 2026
766) - 30636;05/05/2026;F B;00003-00001079;Sí;30-68373359-4;OBRA SOCIAL DEL PERSONAL MUNICIPAL DE AVELLANEDA;E;4.950.000,00;1.039.500,00;5.989.500,00;Período Abril 2026
752) - 30553;05/05/2026;F B;00003-00001080;Sí;30-69087329-6;O.S. DEL PER. DEL JOCKEY CLUB DE ROSARIO;E;119.504,50;25.095,94;144.600,44;Período Abril 2026
753) - 30554;05/05/2026;F B;00003-00001081;Sí;30-65635676-2;OSBARA;E;33.975,00;7.134,75;41.109,75;Período Abril 2026
754) - 30555;05/05/2026;F B;00003-00001082;Sí;30-59965970-2;OSPERYH;E;6.669.114,57;1.400.514,06;8.069.628,63;Período Abril 2026
755) - 30556;05/05/2026;F B;00003-00001083;Sí;30-59545956-3;OSPERYHRA;E;7.380.161,02;1.549.833,81;8.929.994,83;Período Abril 2026
760) - 30568;05/05/2026;F B;00003-00001084;Sí;30-60956813-1;OSPILM;E;5.755.219,70;1.208.596,14;6.963.815,84;Carpeta 02-2026
765) - 30635;05/05/2026;F B;00003-00001085;Sí;30-59965970-2;OSPERYH;E;50.680.488,88;10.642.902,66;61.323.391,54;Periodo Abril 2026
781) - 30637;08/05/2026;NC A;00003-00000033;Sí;30-52297151-7;APDIS;RI;-2.361.520,86;-495.919,38;-2.857.440,24;Anula FC 528
782) - 30638;08/05/2026;NC A;00003-00000034;Sí;30-70495386-7;OSLERA;RI;-317.489,97;-66.672,89;-384.162,86;Anula FC 529
783) - 30639;08/05/2026;NC B;00003-00000054;Sí;30-59965970-2;OSPERYH;E;-50.680.488,88;-10.642.902,66;-61.323.391,54;Anula FC 1085
805) - 30640;15/05/2026;F A;00003-00000530;Sí;30-52297151-7;APDIS;RI;2.361.520,86;495.919,38;2.857.440,24;Período Abril 2026
806) - 30641;15/05/2026;F A;00003-00000531;Sí;30-70495386-7;OSLERA;RI;317.489,97;66.672,89;384.162,86;Periodo Abril 2026
804) - 30571;15/05/2026;F B;00003-00001086;Sí;30-59545956-3;OSPERYHRA;E;7.719.133,16;1.621.017,96;9.340.151,12;Periodo Abril 2026
807) - 30642;15/05/2026;F B;00003-00001087;Sí;30-59965970-2;OSPERYH;E;50.680.488,88;10.642.902,66;61.323.391,54;Período Abril 2026
817) - 30660;01/06/2026;F A;00003-00000532;Sí;33-68915085-9;GEA S.A.;RI;1.330.644,34;279.435,31;1.610.079,65;Período Mayo 2026
818) - 30661;01/06/2026;F A;00003-00000533;Sí;30-52297151-7;APDIS;RI;73.960,00;15.531,60;89.491,60;Período Mayo 2026
819) - 30662;01/06/2026;F A;00003-00000534;Sí;33-52208216-9;CAMPSIC;RI;28.800,00;6.048,00;34.848,00;Período Mayo 2026
820) - 30663;01/06/2026;F A;00003-00000535;Sí;30-55024530-9;OMINT S.A.;RI;744.000,00;156.240,00;900.240,00;Período Mayo 2026
821) - 30664;01/06/2026;F A;00003-00000536;Sí;30-71707621-0;MEDICAL SERVICIOS DE SALUD SRL;RI;227.714,41;47.820,03;275.534,44;Período Mayo 2026
822) - 30665;01/06/2026;F A;00003-00000537;Sí;30-71707621-0;MEDICAL SERVICIOS DE SALUD SRL;RI;3.640.173,63;764.436,47;4.404.610,10;Carpeta 03-2026
823) - 30666;01/06/2026;F A;00003-00000538;Sí;30-71522936-2;ASSISTENCIAL SALUD S.A.;RI;3.959.705,86;831.538,23;4.791.244,09;Carpeta 03-2026
837) - 30680;01/06/2026;F A;00003-00000539;Sí;30-55024530-9;OMINT S.A.;RI;74.400,00;15.624,00;90.024,00;Período Mayo 2026
844) - 30687;01/06/2026;F A;00003-00000540;Sí;30-55024530-9;OMINT S.A.;RI;1.033.600,00;217.056,00;1.250.656,00;Periodo Mayo 2026
824) - 30667;01/06/2026;F B;00003-00001088;Sí;30-62425407-0;OS PRENSA ROSARIO;E;954.837,97;200.515,97;1.155.353,94;Período Mayo 2026
825) - 30668;01/06/2026;F B;00003-00001089;Sí;30-62425407-0;OS PRENSA ROSARIO;E;1.066.468,29;223.958,34;1.290.426,63;Período Mayo 2026
826) - 30669;01/06/2026;F B;00003-00001090;Sí;30-59965970-2;OSPERYH;E;2.417.185,14;507.608,88;2.924.794,02;Período Mayo 2026
827) - 30670;01/06/2026;F B;00003-00001091;Sí;30-59545956-3;OSPERYHRA;E;508.881,08;106.865,03;615.746,11;Período Mayo 2026
828) - 30671;01/06/2026;F B;00003-00001092;Sí;30-53331924-2;FATERYH;E;9.668.740,55;2.030.435,52;11.699.176,07;Período Mayo 2026
829) - 30672;01/06/2026;F B;00003-00001093;Sí;30-52954331-6;SUTERH;E;2.035.524,33;427.460,11;2.462.984,44;Período Mayo 2026
830) - 30673;01/06/2026;F B;00003-00001094;Sí;30-68373359-4;OBRA SOCIAL DEL PERSONAL MUNICIPAL DE AVELLANEDA;E;420.266,00;88.255,86;508.521,86;Período Mayo 2026
831) - 30674;01/06/2026;F B;00003-00001095;Sí;30-68373359-4;OBRA SOCIAL DEL PERSONAL MUNICIPAL DE AVELLANEDA;E;5.403.420,00;1.134.718,20;6.538.138,20;Período Mayo 2026
832) - 30675;01/06/2026;F B;00003-00001096;Sí;30-65635676-2;OSBARA;E;41.970,00;8.813,70;50.783,70;Período Mayo 2026
833) - 30676;01/06/2026;F B;00003-00001097;Sí;30-59965970-2;OSPERYH;E;26.286.850,00;5.520.238,50;31.807.088,50;Período Mayo 2026
834) - 30677;01/06/2026;F B;00003-00001098;Sí;30-59545956-3;OSPERYHRA;E;465.900,00;97.839,00;563.739,00;Período Mayo 2026
835) - 30678;01/06/2026;F B;00003-00001099;Sí;30-60956813-1;OSPILM;E;7.765.982,98;1.630.856,43;9.396.839,41;Carpeta 03-2026
839) - 30682;01/06/2026;F B;00003-00001100;Sí;30-69087329-6;O.S. DEL PER. DEL JOCKEY CLUB DE ROSARIO;E;2.434.455,35;511.235,62;2.945.690,97;Período Mayo 2026
840) - 30683;01/06/2026;F B;00003-00001101;Sí;30-69087329-6;O.S. DEL PER. DEL JOCKEY CLUB DE ROSARIO;E;855.879,72;179.734,74;1.035.614,46;Período Mayo 2026
841) - 30684;01/06/2026;F B;00003-00001102;Sí;30-69087329-6;O.S. DEL PER. DEL JOCKEY CLUB DE ROSARIO;E;26.470,86;5.558,88;32.029,74;Período Mayo 2026
842) - 30685;01/06/2026;F B;00003-00001103;Sí;30-55024530-9;OMINT S.A.;RI;74.400,00;15.624,00;90.024,00;Período Mayo 2026
838) - 30681;01/06/2026;NC A;00003-00000035;Sí;30-55024530-9;OMINT S.A.;RI;-744.000,00;-156.240,00;-900.240,00;Anula FC 535
843) - 30686;01/06/2026;NC A;00003-00000036;Sí;30-55024530-9;OMINT S.A.;RI;-74.400,00;-15.624,00;-90.024,00;Anula Factura 539
836) - 30679;01/06/2026;NC B;00003-00000055;Sí;30-55024530-9;OMINT S.A.;RI;-74.400,00;-15.624,00;-90.024,00;Anula FC 1103
Total (pesos):;;;;;;;;529.721.573,16;111.241.530,32;640.963.103,48;
A Asentar:;;;;;;;;;;;
